GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0051336	12	regulation of hydrolase activity	-1.70634550302448	-1.54504379273065	shared_same_direction	0.16130171029383	NA	NA	NA	NA
GO:0060326	9	cell chemotaxis	-2.01191425775411	-1.77728944648085	shared_same_direction	0.23462481127326	NA	NA	NA	NA
GO:0019882	1	antigen processing and presentation	-2.06442291462124	-2.4053282823538	shared_same_direction	-0.34090536773256	NA	NA	NA	NA
GO:0006753	13	nucleoside phosphate metabolic process	1.5663607431539	1.57346680508577	shared_same_direction	0.00710606193187013	1.54903580050506	1.51870446690333	shared_same_direction	-0.0303313336017299
GO:0097435	11	supramolecular fiber organization	-1.54781715126146	-1.73748251558778	shared_same_direction	-0.18966536432632	NA	NA	NA	NA
GO:0048584	4	positive regulation of response to stimulus	-1.54051449695898	-1.37126564336279	shared_same_direction	0.16924885359619	NA	NA	NA	NA
GO:0140546	6	defense response to symbiont	-1.84457619707892	-1.80553769505827	shared_same_direction	0.0390385020206501	NA	NA	NA	NA
GO:0016064	1	immunoglobulin mediated immune response	-1.97882185518224	-2.16202406201514	shared_same_direction	-0.1832022068329	NA	NA	NA	NA
GO:0035329	4	hippo signaling	-2.07852206688297	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0044272	10	sulfur compound biosynthetic process	1.8808379078023	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0002503	14	peptide antigen assembly with MHC class II protein complex	-2.0299394022109	-2.32417799590295	shared_same_direction	-0.29423859369205	NA	NA	NA	NA
GO:0002443	1	leukocyte mediated immunity	-1.89403530321649	-2.19525736758284	shared_same_direction	-0.30122206436635	NA	NA	NA	NA
GO:0006418	10	tRNA aminoacylation for protein translation	2.04234686518166	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0006259	13	DNA metabolic process	1.4939063467683	1.53035531621754	shared_same_direction	0.03644896944924	NA	NA	NA	NA
GO:0051965	15	positive regulation of synapse assembly	2.03329726699073	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0090407	10	organophosphate biosynthetic process	1.49247738523861	1.64430830628075	shared_same_direction	0.15183092104214	NA	NA	NA	NA
GO:0050727	6	regulation of inflammatory response	-1.99099275242365	-1.81304967221034	shared_same_direction	0.17794308021331	NA	NA	NA	NA
GO:0070585	16	protein localization to mitochondrion	1.97581455514514	1.99055132373729	shared_same_direction	0.01473676859215	NA	NA	NA	NA
GO:0009060	17	aerobic respiration	1.84244022097141	2.04241004172918	shared_same_direction	0.19996982075777	2.28063289925555	NA	solitary_specific	NA
GO:0009605	6	response to external stimulus	-1.48415093643135	NA	solitary_specific	NA	NA	NA	NA	NA
GO:1901137	10	carbohydrate derivative biosynthetic process	1.47719578286169	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0045103	11	intermediate filament-based process	-1.94903700484816	-1.79249763382511	shared_same_direction	0.15653937102305	NA	NA	NA	NA
GO:0045104	11	intermediate filament cytoskeleton organization	-1.94903700484816	-1.79249763382511	shared_same_direction	0.15653937102305	NA	NA	NA	NA
GO:0006839	18	mitochondrial transport	1.82543724498463	1.99342279193472	shared_same_direction	0.16798554695009	NA	NA	NA	NA
GO:0170039	19	proteinogenic amino acid metabolic process	1.78451451195915	1.87459367592529	shared_same_direction	0.09007916396614	NA	NA	NA	NA
GO:0007005	11	mitochondrion organization	1.67556445764582	1.92862928182062	shared_same_direction	0.2530648241748	1.61854199227477	1.78841422897095	shared_same_direction	0.16987223669618
GO:0048646	8	anatomical structure formation involved in morphogenesis	-1.7108428712649	-1.49845407164835	shared_same_direction	0.21238879961655	NA	NA	NA	NA
GO:0007601	20	visual perception	-1.81975564480613	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0048699	8	generation of neurons	1.39494259669845	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0007009	11	plasma membrane organization	-1.79059857520595	-1.73089362158113	shared_same_direction	0.05970495362482	NA	NA	NA	NA
GO:0043603	10	amide metabolic process	1.57626301205369	1.43872325895414	shared_same_direction	-0.13753975309955	NA	NA	NA	NA
GO:0006637	13	acyl-CoA metabolic process	1.85844663503324	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0044283	10	small molecule biosynthetic process	1.53762139123437	1.4940948605213	shared_same_direction	-0.0435265307130699	NA	NA	NA	NA
GO:0001525	8	angiogenesis	-1.70892470905445	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0006605	16	protein targeting	1.66441541914332	1.63244058490334	shared_same_direction	-0.0319748342399799	NA	1.86740177690589	group_specific	NA
GO:0044782	11	cilium organization	-1.5478845785718	NA	solitary_specific	NA	-1.59091693303689	-1.86355768779276	shared_same_direction	-0.27264075475587
GO:1990542	18	mitochondrial transmembrane transport	1.82832577212093	2.06746769595402	shared_same_direction	0.23914192383309	NA	NA	NA	NA
GO:0006935	9	chemotaxis	-1.60677396209541	-1.78048714019315	shared_same_direction	-0.17371317809774	NA	NA	NA	NA
GO:0050804	5	modulation of chemical synaptic transmission	1.59021560325211	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0051604	13	protein maturation	1.48325519708024	NA	solitary_specific	NA	NA	1.54525773202655	group_specific	NA
GO:0007187	4	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	1.9323923626298	NA	solitary_specific	NA	NA	NA	NA	NA
GO:0008610	10	lipid biosynthetic process	1.41813521332104	1.40507259232083	shared_same_direction	-0.0130626210002101	NA	NA	NA	NA
GO:0031333	2	negative regulation of protein-containing complex assembly	-1.7950985552375	NA	solitary_specific	NA	NA	NA	NA	NA
