ID	NES_sol	NES_grp	in_sol	in_grp	category	delta_NES
GO:0008610	1.41813521332104	1.40507259232083	TRUE	TRUE	shared_same_direction	-0.0130626210002101
GO:0031333	-1.7950985552375	NA	TRUE	FALSE	solitary_specific	NA
GO:0060271	-1.5299965011155	NA	TRUE	FALSE	solitary_specific	NA
GO:0044092	-1.58569059868452	NA	TRUE	FALSE	solitary_specific	NA
GO:0050803	1.78489599263917	NA	TRUE	FALSE	solitary_specific	NA
GO:0051492	-1.85394002631286	NA	TRUE	FALSE	solitary_specific	NA
GO:0030837	-1.74306952938244	-1.93139499469749	TRUE	TRUE	shared_same_direction	-0.18832546531505
GO:0002764	-1.62612242103897	NA	TRUE	FALSE	solitary_specific	NA
GO:0170034	1.76571272982768	NA	TRUE	FALSE	solitary_specific	NA
GO:0032956	-1.56819573869986	NA	TRUE	FALSE	solitary_specific	NA
GO:0046394	1.59186681135946	NA	TRUE	FALSE	solitary_specific	NA
GO:0032970	-1.52419245353787	-1.64292598704121	TRUE	TRUE	shared_same_direction	-0.11873353350334
GO:0031589	NA	-2.08321786221698	FALSE	TRUE	group_specific	NA
GO:0006082	NA	1.66029124391292	FALSE	TRUE	group_specific	NA
GO:1902969	NA	2.2191395318497	FALSE	TRUE	group_specific	NA
GO:1902904	NA	-1.9925397533096	FALSE	TRUE	group_specific	NA
GO:0051494	NA	-1.96435377478484	FALSE	TRUE	group_specific	NA
GO:0002377	NA	-1.99300627342235	FALSE	TRUE	group_specific	NA
GO:0006412	NA	1.57879681953851	FALSE	TRUE	group_specific	NA
GO:0071826	NA	1.85026632687965	FALSE	TRUE	group_specific	NA
GO:0022618	NA	1.85438633665292	FALSE	TRUE	group_specific	NA
GO:0006399	NA	1.70112619781185	FALSE	TRUE	group_specific	NA
GO:0140053	NA	1.91268885476765	FALSE	TRUE	group_specific	NA
GO:0032535	NA	-1.60258011873843	FALSE	TRUE	group_specific	NA
GO:0098609	NA	-1.38415767352614	FALSE	TRUE	group_specific	NA
GO:0009615	NA	1.94755493962004	FALSE	TRUE	group_specific	NA
GO:0170040	NA	1.84630108328171	FALSE	TRUE	group_specific	NA
GO:0000963	NA	1.99069837864612	FALSE	TRUE	group_specific	NA
GO:0032200	NA	1.81625893284074	FALSE	TRUE	group_specific	NA
GO:0042255	NA	1.85167026045927	FALSE	TRUE	group_specific	NA
GO:0006364	NA	1.54577545441924	FALSE	TRUE	group_specific	NA
GO:0006790	NA	1.50796755661472	FALSE	TRUE	group_specific	NA
GO:0035337	NA	1.92464681252724	FALSE	TRUE	group_specific	NA
GO:0170033	NA	1.65208442393583	FALSE	TRUE	group_specific	NA
GO:0045785	NA	-1.54628711519468	FALSE	TRUE	group_specific	NA
GO:0018057	NA	-1.80643271007718	FALSE	TRUE	group_specific	NA
GO:0002682	NA	-1.38818783223795	FALSE	TRUE	group_specific	NA
GO:0170036	NA	1.83671429209256	FALSE	TRUE	group_specific	NA
GO:0040011	NA	-1.40875493038048	FALSE	TRUE	group_specific	NA
