cluster	GO	Description	set	padj	NES
7	GO:0045103	intermediate filament-based process	Multifasciatus	0.0174	-1.8
7	GO:0022402	cell cycle process	Multifasciatus	0.027	-1.38
7	GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	both	Multifasciatus:0.034;Meeli:0.0183	Multifasciatus:-1.76;Meeli:-1.85
7	GO:0051084	'de novo' post-translational protein folding	Multifasciatus	0.0391	1.75
7	GO:0061640	cytoskeleton-dependent cytokinesis	Meeli	0.0178	-1.78
8	GO:0098609	cell-cell adhesion	Multifasciatus	3.96e-07	-1.77
8	GO:0031589	cell-substrate adhesion	Multifasciatus	0.0021	-1.8
8	GO:0030155	regulation of cell adhesion	Multifasciatus	0.0354	-1.49
8	GO:0033627	cell adhesion mediated by integrin	Multifasciatus	0.0448	-1.57
8	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	Meeli	8.82e-05	-1.87
8	GO:0050870	positive regulation of T cell activation	Meeli	0.00542	1.77
8	GO:1903039	positive regulation of leukocyte cell-cell adhesion	Meeli	0.00542	1.77
9	GO:0048193	Golgi vesicle transport	Multifasciatus	1.38e-06	2.07
9	GO:1902600	proton transmembrane transport	Multifasciatus	0.000695	2.02
9	GO:0006839	mitochondrial transport	both	Multifasciatus:0.00142;Meeli:0.0133	Multifasciatus:1.87;Meeli:1.67
9	GO:0070588	calcium ion transmembrane transport	both	Multifasciatus:0.0075;Meeli:2.95e-06	Multifasciatus:-1.71;Meeli:-2.13
9	GO:0007034	vacuolar transport	both	Multifasciatus:0.00901;Meeli:0.00731	Multifasciatus:1.73;Meeli:1.74
9	GO:0097553	calcium ion transmembrane import into cytosol	both	Multifasciatus:0.0122;Meeli:0.00867	Multifasciatus:-1.85;Meeli:-1.94
9	GO:0070509	calcium ion import	Multifasciatus	0.0345	-1.76
9	GO:0006913	nucleocytoplasmic transport	Multifasciatus	0.0487	1.54
9	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	Meeli	1.24e-05	2.11
9	GO:0006816	calcium ion transport	Meeli	0.000175	-1.91
9	GO:0036465	synaptic vesicle recycling	Meeli	0.00436	-1.97
9	GO:0098657	import into cell	Meeli	0.00542	-1.5
9	GO:0098659	inorganic cation import across plasma membrane	Meeli	0.00566	-1.73
9	GO:0009914	hormone transport	Meeli	0.00721	2.02
9	GO:0098739	import across plasma membrane	Meeli	0.00845	-1.71
10	GO:0015031	protein transport	both	Multifasciatus:5.67e-06;Meeli:7.01e-07	Multifasciatus:1.7;Meeli:1.76
10	GO:0006406	mRNA export from nucleus	Multifasciatus	0.0368	1.73
10	GO:0000054	ribosomal subunit export from nucleus	both	Multifasciatus:0.0404;Meeli:0.0318	Multifasciatus:1.83;Meeli:1.8
10	GO:0015701	bicarbonate transport	Meeli	0.0112	-1.99
10	GO:0042886	amide transport	Meeli	0.0235	1.79
11	GO:0140053	mitochondrial gene expression	both	Multifasciatus:5.88e-06;Meeli:0.000317	Multifasciatus:2.33;Meeli:2.11
11	GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	Meeli	0.00117	2.05
11	GO:0010629	negative regulation of gene expression	Meeli	0.00257	-1.66
11	GO:0002377	immunoglobulin production	Meeli	0.00903	1.88
11	GO:0010608	post-transcriptional regulation of gene expression	Meeli	0.0228	-1.54
12	GO:0016477	cell migration	both	Multifasciatus:0.000146;Meeli:0.00199	Multifasciatus:-1.69;Meeli:-1.54
12	GO:0060632	regulation of microtubule-based movement	Meeli	0.0124	1.92
12	GO:0030334	regulation of cell migration	Meeli	0.0125	-1.59
13	GO:0070585	protein localization to mitochondrion	both	Multifasciatus:0.00033;Meeli:0.000317	Multifasciatus:2.19;Meeli:2.19
13	GO:0033750	ribosome localization	both	Multifasciatus:0.0404;Meeli:0.0318	Multifasciatus:1.83;Meeli:1.8
13	GO:1902414	protein localization to cell junction	Meeli	0.00034	-2.25
13	GO:1903540	establishment of protein localization to postsynaptic membrane	Meeli	0.0122	-2
15	GO:0071526	semaphorin-plexin signaling pathway	Multifasciatus	0.00132	-2
15	GO:0050804	modulation of chemical synaptic transmission	both	Multifasciatus:0.0064;Meeli:1.28e-06	Multifasciatus:-1.64;Meeli:-2.17
15	GO:0035249	synaptic transmission, glutamatergic	Multifasciatus	0.0247	-1.66
15	GO:0051056	regulation of small GTPase mediated signal transduction	Multifasciatus	0.0391	-1.5
15	GO:0099536	synaptic signaling	Meeli	2.33e-06	-1.79
15	GO:0007169	cell surface receptor protein tyrosine kinase signaling pathway	Meeli	0.000178	-1.72
15	GO:0060070	canonical Wnt signaling pathway	Meeli	0.00094	-1.79
15	GO:0008286	insulin receptor signaling pathway	Meeli	0.0118	-1.97
15	GO:0099565	chemical synaptic transmission, postsynaptic	Meeli	0.0163	-1.93
15	GO:0098962	regulation of postsynaptic neurotransmitter receptor activity	Meeli	0.0261	-1.85
15	GO:0035329	hippo signaling	Meeli	0.029	-1.82
15	GO:0007218	neuropeptide signaling pathway	Meeli	0.0377	1.64
16	GO:0006936	muscle contraction	Multifasciatus	0.00194	-1.93
16	GO:0006937	regulation of muscle contraction	Multifasciatus	0.0303	-1.74
16	GO:0050905	neuromuscular process	Multifasciatus	0.0496	-1.84
16	GO:0050877	nervous system process	Meeli	0.00277	-1.59
18	GO:0032259	methylation	Multifasciatus	0.00264	1.83
18	GO:0090407	organophosphate biosynthetic process	Multifasciatus	0.0058	1.5
