GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0022618	13	protein-RNA complex assembly	NA	1.8224936569037	group_specific	NA	NA	NA	NA	NA
GO:0009888	1	tissue development	NA	-1.79339357338591	group_specific	NA	NA	NA	NA	NA
GO:0072522	5	purine-containing compound biosynthetic process	NA	1.72884004106328	group_specific	NA	NA	NA	NA	NA
GO:0051168	19	nuclear export	NA	2.0094560514734	group_specific	NA	NA	NA	NA	NA
GO:0000387	13	spliceosomal snRNP assembly	NA	2.17325387736164	group_specific	NA	NA	NA	NA	NA
GO:0071826	13	protein-RNA complex organization	NA	1.77973222512256	group_specific	NA	NA	NA	NA	NA
GO:0033674	16	positive regulation of kinase activity	NA	-1.83959270961697	group_specific	NA	NA	NA	NA	NA
GO:0045165	1	cell fate commitment	NA	-1.95353167306696	group_specific	NA	NA	NA	NA	NA
GO:0045595	23	regulation of cell differentiation	NA	-1.67367055492533	group_specific	NA	NA	-1.67812995747765	group_specific	NA
GO:0043632	22	modification-dependent macromolecule catabolic process	NA	1.55074606265867	group_specific	NA	NA	1.3778016262539	group_specific	NA
GO:0097435	13	supramolecular fiber organization	NA	-1.53576536594582	group_specific	NA	NA	NA	NA	NA
GO:0002381	2	immunoglobulin production involved in immunoglobulin-mediated immune response	NA	-1.98617844926531	group_specific	NA	NA	NA	NA	NA
GO:0007163	6	establishment or maintenance of cell polarity	NA	-1.87337151784231	group_specific	NA	NA	-1.78068291088624	group_specific	NA
GO:0019882	2	antigen processing and presentation	NA	-2.00214286282405	group_specific	NA	NA	NA	NA	NA
GO:0009611	9	response to wounding	NA	-1.90074909152398	group_specific	NA	NA	NA	NA	NA
GO:0120178	14	steroid hormone biosynthetic process	NA	-1.95189219938505	group_specific	NA	NA	NA	NA	NA
GO:0003341	6	cilium movement	NA	-1.90807638929819	group_specific	NA	-2.18405665881099	NA	solitary_specific	NA
GO:0006406	19	mRNA export from nucleus	NA	1.96011378655536	group_specific	NA	NA	NA	NA	NA
GO:0051048	24	negative regulation of secretion	NA	2.03726484173512	group_specific	NA	NA	NA	NA	NA
GO:0170036	25	import into the mitochondrion	NA	1.98468546588209	group_specific	NA	NA	NA	NA	NA
GO:0006259	5	DNA metabolic process	NA	1.45175033062887	group_specific	NA	NA	NA	NA	NA
GO:0050793	23	regulation of developmental process	NA	-1.52154144562875	group_specific	NA	NA	-1.65603860095001	group_specific	NA
GO:1902414	8	protein localization to cell junction	NA	-1.94751855683055	group_specific	NA	NA	NA	NA	NA
GO:1902600	19	proton transmembrane transport	NA	1.83024641215317	group_specific	NA	NA	1.77385060562208	group_specific	NA
GO:0061061	1	muscle structure development	NA	-1.81145034176677	group_specific	NA	NA	NA	NA	NA
GO:0006783	5	heme biosynthetic process	NA	2.04360049570758	group_specific	NA	NA	NA	NA	NA
GO:0045197	6	establishment or maintenance of epithelial cell apical/basal polarity	NA	-1.93851845453342	group_specific	NA	NA	-1.7570957356585	group_specific	NA
GO:0000902	1	cell morphogenesis	NA	-1.46984418972172	group_specific	NA	NA	-1.43895819196553	group_specific	NA
GO:0050767	1	regulation of neurogenesis	NA	-1.69158714526293	group_specific	NA	NA	NA	NA	NA
GO:0043414	22	macromolecule methylation	NA	1.71189719962175	group_specific	NA	NA	NA	NA	NA
GO:2000026	23	regulation of multicellular organismal development	NA	-1.56346319057015	group_specific	NA	NA	-1.672969669817	group_specific	NA
GO:0006405	19	RNA export from nucleus	NA	1.80949598941819	group_specific	NA	NA	NA	NA	NA
GO:0051492	20	regulation of stress fiber assembly	NA	-1.85596658576383	group_specific	NA	NA	NA	NA	NA
GO:0032956	20	regulation of actin cytoskeleton organization	NA	-1.58550999779954	group_specific	NA	NA	NA	NA	NA
GO:0032259	21	methylation	NA	1.73286516872338	group_specific	NA	NA	NA	NA	NA
GO:0002377	12	immunoglobulin production	NA	-1.83432730287474	group_specific	NA	NA	NA	NA	NA
GO:0120039	1	plasma membrane bounded cell projection morphogenesis	NA	-1.5055015974873	group_specific	NA	NA	-1.48982584226245	group_specific	NA
GO:0090151	19	establishment of protein localization to mitochondrial membrane	NA	1.93390128350744	group_specific	NA	NA	NA	NA	NA
GO:0034330	13	cell junction organization	NA	-1.49133915580396	group_specific	NA	NA	-1.64191310317607	group_specific	NA
GO:0046034	21	ATP metabolic process	NA	1.73888250226902	group_specific	NA	NA	NA	NA	NA
GO:0006403	8	RNA localization	NA	1.74873854736079	group_specific	NA	NA	NA	NA	NA
GO:0007044	13	cell-substrate junction assembly	NA	-1.8289651433131	group_specific	NA	NA	NA	NA	NA
GO:0042401	5	biogenic amine biosynthetic process	NA	1.91410714433155	group_specific	NA	NA	NA	NA	NA
GO:0032509	19	endosome transport via multivesicular body sorting pathway	NA	1.88632573546844	group_specific	NA	NA	NA	NA	NA
GO:0032101	9	regulation of response to external stimulus	NA	-1.56721679618861	group_specific	NA	NA	NA	NA	NA
GO:0097320	13	plasma membrane tubulation	NA	-1.81165836919268	group_specific	NA	NA	NA	NA	NA
GO:0071025	22	RNA surveillance	NA	1.90499766665596	group_specific	NA	NA	NA	NA	NA
GO:0030155	6	regulation of cell adhesion	NA	-1.50491442645417	group_specific	NA	NA	NA	NA	NA
GO:0044283	21	small molecule biosynthetic process	NA	1.41783785691025	group_specific	NA	NA	NA	NA	NA
GO:0009311	12	oligosaccharide metabolic process	NA	1.86589410251384	group_specific	NA	NA	NA	NA	NA
GO:0030168	9	platelet activation	NA	-1.80662557435081	group_specific	NA	NA	NA	NA	NA
GO:0045926	23	negative regulation of growth	NA	-1.74703539328822	group_specific	NA	NA	NA	NA	NA
GO:0040012	4	regulation of locomotion	NA	-1.51022169573766	group_specific	NA	NA	NA	NA	NA
GO:0030335	4	positive regulation of cell migration	NA	-1.61205793106348	group_specific	NA	NA	NA	NA	NA
GO:0000054	19	ribosomal subunit export from nucleus	NA	1.85479750721121	group_specific	NA	NA	NA	NA	NA
GO:0033750	8	ribosome localization	NA	1.85479750721121	group_specific	NA	NA	NA	NA	NA
GO:0008299	14	isoprenoid biosynthetic process	NA	1.85694859928301	group_specific	NA	NA	NA	NA	NA
GO:0000724	5	double-strand break repair via homologous recombination	NA	1.60509617259128	group_specific	NA	NA	NA	NA	NA
GO:0032970	20	regulation of actin filament-based process	NA	-1.51924888163693	group_specific	NA	NA	NA	NA	NA
GO:0048640	23	negative regulation of developmental growth	NA	-1.73008130182767	group_specific	NA	NA	NA	NA	NA
GO:0045103	6	intermediate filament-based process	NA	-1.70187095998928	group_specific	NA	NA	NA	NA	NA
GO:0045104	6	intermediate filament cytoskeleton organization	NA	-1.70187095998928	group_specific	NA	NA	NA	NA	NA
GO:0006766	21	vitamin metabolic process	NA	1.84687163918019	group_specific	NA	NA	NA	NA	NA
GO:0051123	5	RNA polymerase II preinitiation complex assembly	NA	1.84739343369789	group_specific	NA	NA	NA	NA	NA
GO:0000966	5	RNA 5'-end processing	NA	1.82544853988431	group_specific	NA	NA	NA	NA	NA
GO:0042440	21	pigment metabolic process	NA	1.81131510767044	group_specific	NA	NA	2.04869664329625	group_specific	NA
GO:0170039	26	proteinogenic amino acid metabolic process	NA	1.51461294857438	group_specific	NA	NA	NA	NA	NA
GO:0042554	21	superoxide anion generation	NA	-1.77546092691326	group_specific	NA	NA	NA	NA	NA
GO:0007017	6	microtubule-based process	NA	-1.32985569805722	group_specific	NA	NA	NA	NA	NA
GO:0030198	13	extracellular matrix organization	NA	-1.59233287992012	group_specific	NA	NA	NA	NA	NA
GO:0007034	19	vacuolar transport	NA	1.58767088614947	group_specific	NA	NA	NA	NA	NA
GO:0071880	3	adenylate cyclase-activating adrenergic receptor signaling pathway	NA	1.68553522711031	group_specific	NA	NA	NA	NA	NA
GO:0045116	22	protein neddylation	NA	1.82049169439722	group_specific	NA	NA	NA	NA	NA
GO:0030258	14	lipid modification	NA	1.52525399460045	group_specific	NA	NA	NA	NA	NA
GO:0044282	21	small molecule catabolic process	NA	1.49115747296591	group_specific	NA	NA	NA	NA	NA
GO:0034472	5	snRNA 3'-end processing	NA	1.76047286250601	group_specific	NA	NA	NA	NA	NA
GO:0071616	5	acyl-CoA biosynthetic process	NA	1.75384890149994	group_specific	NA	NA	NA	NA	NA
GO:0099536	3	synaptic signaling	NA	NA	NA	NA	1.78814552793065	NA	solitary_specific	NA
GO:0050877	27	nervous system process	NA	NA	NA	NA	1.74276033056866	NA	solitary_specific	NA
GO:0060285	4	cilium-dependent cell motility	NA	NA	NA	NA	-2.13294625918093	NA	solitary_specific	NA
GO:0044782	13	cilium organization	NA	NA	NA	NA	-1.683526589943	-1.50890811623465	shared_same_direction	0.17461847370835
GO:0006281	5	DNA repair	NA	NA	NA	NA	-1.56150117818125	NA	solitary_specific	NA
GO:0007286	1	spermatid development	NA	NA	NA	NA	-2.00193080345012	NA	solitary_specific	NA
GO:0051254	5	positive regulation of RNA metabolic process	NA	NA	NA	NA	NA	-1.66318383035854	group_specific	NA
GO:0007219	3	Notch signaling pathway	NA	NA	NA	NA	NA	-2.02930875929126	group_specific	NA
GO:0022613	13	ribonucleoprotein complex biogenesis	NA	NA	NA	NA	NA	1.64743987025863	group_specific	NA
GO:0006805	11	xenobiotic metabolic process	NA	NA	NA	NA	NA	-2.07200565037278	group_specific	NA
GO:0009410	11	response to xenobiotic stimulus	NA	NA	NA	NA	NA	-2.07200565037278	group_specific	NA
GO:0009891	28	positive regulation of biosynthetic process	NA	NA	NA	NA	NA	-1.52565249996782	group_specific	NA
GO:0007602	3	phototransduction	NA	NA	NA	NA	NA	2.07763321810186	group_specific	NA
GO:0006605	19	protein targeting	NA	NA	NA	NA	NA	1.79188163714822	group_specific	NA
GO:0010557	28	positive regulation of macromolecule biosynthetic process	NA	NA	NA	NA	NA	-1.51919755672507	group_specific	NA
GO:0009583	3	detection of light stimulus	NA	NA	NA	NA	NA	2.04210371229402	group_specific	NA
GO:0006888	19	endoplasmic reticulum to Golgi vesicle-mediated transport	NA	NA	NA	NA	NA	1.82352537152574	group_specific	NA
GO:0048699	1	generation of neurons	NA	NA	NA	NA	NA	-1.48250549860422	group_specific	NA
GO:0048667	1	cell morphogenesis involved in neuron differentiation	NA	NA	NA	NA	NA	-1.57381688763463	group_specific	NA
GO:0006753	5	nucleoside phosphate metabolic process	NA	NA	NA	NA	NA	1.54849720579576	group_specific	NA
GO:0042168	5	heme metabolic process	NA	NA	NA	NA	NA	2.04518996506133	group_specific	NA
GO:0010558	28	negative regulation of macromolecule biosynthetic process	NA	NA	NA	NA	NA	-1.4488486568878	group_specific	NA
GO:0009890	28	negative regulation of biosynthetic process	NA	NA	NA	NA	NA	-1.43919286057059	group_specific	NA
GO:0015711	18	organic anion transport	NA	NA	NA	NA	NA	-1.62924627571183	group_specific	NA
GO:0034329	13	cell junction assembly	NA	NA	NA	NA	NA	-1.66791328150208	group_specific	NA
GO:0006066	21	alcohol metabolic process	NA	NA	NA	NA	NA	1.67876830142243	group_specific	NA
GO:0006779	5	porphyrin-containing compound biosynthetic process	NA	NA	NA	NA	NA	1.94292284293889	group_specific	NA
GO:0048729	1	tissue morphogenesis	NA	NA	NA	NA	NA	-1.87331209613006	group_specific	NA
GO:0180046	29	GPI anchored protein biosynthesis	NA	NA	NA	NA	NA	1.90713890615142	group_specific	NA
GO:0009952	1	anterior/posterior pattern specification	NA	NA	NA	NA	NA	-1.88766979164184	group_specific	NA
GO:0043549	16	regulation of kinase activity	NA	NA	NA	NA	NA	-1.57438492300028	group_specific	NA
GO:0019752	21	carboxylic acid metabolic process	NA	NA	NA	NA	NA	1.34085142410329	group_specific	NA
GO:0006956	2	complement activation	NA	NA	NA	NA	NA	1.85651870621248	group_specific	NA
GO:0070972	8	protein localization to endoplasmic reticulum	NA	NA	NA	NA	NA	1.77579403949911	group_specific	NA
GO:0019941	22	modification-dependent protein catabolic process	NA	NA	NA	NA	NA	1.3778016262539	group_specific	NA
GO:0035329	3	hippo signaling	NA	NA	NA	NA	NA	-1.77688109104788	group_specific	NA
