gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC100712328	integral membrane protein 2Cb	4988.77604701971	0.399695035997437	0.136259996803495	2.93332632741693	0.00335351213442019	0.0453664692881796
LOC100692208	neuroligin 4 X-linked a	3280.19071958556	0.423046276518628	0.144270533559095	2.932312413923	0.00336448106859372	0.0454704619666379
LOC112845898	NA	17.9881002101984	2.77467233488362	0.946525492298056	2.93142906077156	0.00337406416686168	0.0455322185328307
LOC100697058	gamma-aminobutyric acid type A receptor subunit alpha5	11901.0828107363	0.40585714411714	0.138481099543567	2.93077644136883	0.00338116009578522	0.0455322185328307
chd1l	chromodomain helicase DNA binding protein 1-like	269.513949539194	-0.707552614723987	0.241395052182275	-2.93109824881465	0.0033776593879314	0.0455322185328307
LOC100692872	hemicentin-1	857.513632625502	-0.649633876809869	0.221614905405793	-2.93136364460839	0.00337477482465493	0.0455322185328307
cdh20	cadherin 20	551.657265872216	0.56084897664135	0.191338889291902	2.93118131247083	0.00337675633517289	0.0455322185328307
LOC100709975	5'-nucleotidase, ecto (CD73)	1323.86634270633	-0.588135171613777	0.200678061497561	-2.93073974915252	0.00338155945330822	0.0455322185328307
LOC100690104	ras-GEF domain-containing family member 1B-B	2955.69208614299	0.46305455686186	0.158029791440929	2.93017254936357	0.00338773831295232	0.0455873103850146
LOC100711808	talin 1	783.774728877347	-0.595437857367183	0.203458324485545	-2.92658390298248	0.00342707051415095	0.0460881896730645
itpk1	inositol-tetrakisphosphate 1-kinase b	3511.93758904724	-0.248473471559922	0.0849324297339308	-2.92554295618669	0.00343855700171798	0.046169650429082
LOC100698185	reticulocalbin 3, EF-hand calcium binding domain	167.408996705907	-1.01413820261254	0.346639803513502	-2.9256253676968	0.00343764634346115	0.046169650429082
carf	uncharacterized LOC100701671	400.322725629363	-0.677516119178944	0.231592991889592	-2.9254603675656	0.00343946983736796	0.046169650429082
LOC100710339	slc25a1 solute carrier family 25 member 1b	410.641776375034	0.726621571347632	0.248451788687885	2.9245978673973	0.00344901606970091	0.0462125834124343
riok1	RIO kinase 1 (yeast)	1069.00521609284	-0.499061006973938	0.17064070529167	-2.92463047501422	0.00344865472736415	0.0462125834124343
dnajb11	DnaJ heat shock protein family (Hsp40) member B11	1490.37343067675	0.451384979429518	0.154333834985561	2.92473118076634	0.00344753897092288	0.0462125834124343
tnr	tenascin R (restrictin, janusin)	3217.64046098596	0.395377567285896	0.13523866446341	2.92355421324697	0.00346059957448978	0.0463393591090477
LOC100696878	oxysterol binding protein 2a	3698.86079767522	0.559757177996628	0.191484089361772	2.9232568609869	0.00346390635878379	0.0463552174484301
tp53bp2	tumor protein p53 binding protein 2	2220.99218941332	-0.507699470188046	0.173726880493758	-2.92240019935365	0.00347344917443195	0.046454458034044
gnrh3	gonadotropin-releasing hormone 3	41.7647996428666	1.90000606235401	0.650428603573727	2.92116006570833	0.00348730608394665	0.0466112392126039
LOC100698167	F-box only protein 41	703.573561741022	0.730639690989565	0.250214055749433	2.9200585426793	0.00349965636409841	0.0467477033589659
LOC100698015	uncharacterized protein At5g50100, chloroplastic	65.129179804036	2.44288684118519	0.836671348795565	2.91976872962347	0.00350291235590727	0.046762595264679
LOC112845135	NA	47.9083766466113	2.5025329782692	0.857230293732692	2.91932400962204	0.00350791405703961	0.0468007593193311
LOC100703844	coiled-coil-helix-coiled-coil-helix domain containing 10	1155.03171422119	0.842054463057821	0.288545840853515	2.91826927938741	0.00351980244808247	0.0469306993077663
LOC100694073	oxysterol-binding protein 1	1092.22298161946	-0.513700656407083	0.176047229011128	-2.91797070191098	0.00352317451534412	0.0469469990330174
LOC100696013	cholesterol 25-hydroxylase like 3	38.4377706784474	-2.01586222463815	0.690974887130246	-2.91741749546126	0.00352943007476088	0.0470016785565717
LOC100700078	tripartite motif-containing protein 35	29.9147709697909	-1.90772036981161	0.654450822095553	-2.91499422936483	0.00355695119457962	0.0473393138876409
LOC100707137	protocadherin 10b	4005.60453554851	0.304772197488313	0.104588854523941	2.91400263322081	0.00356826896747689	0.0474610196404966
LOC100705136	nardilysin	899.065109343837	0.496682679423744	0.170483105063231	2.9133835827282	0.0035753512188226	0.0475262754833144
nbis-pseudo234	cytosolic non-specific dipeptidase-like	161.558027533201	-0.873518685013433	0.299891075225065	-2.91278653210292	0.00358219389146101	0.0475882692150295
LOC100699462	mitochondrial pyruvate carrier 1	3272.20294956442	0.531071703773763	0.182358975160715	2.91223233353733	0.0035885561039289	0.0476438086989709
LOC100702714	B-cell receptor-associated protein 29	50.295111657609	-1.67606590555132	0.575664814920131	-2.9115309154058	0.0035966231363994	0.0476929261074456
lonp1	lon peptidase 1, mitochondrial	1881.62199461345	1.16975006432382	0.401745639951471	2.91166834931954	0.00359504120640378	0.0476929261074456
jmjd8	jumonji domain containing 8	477.933707048571	0.730636082966178	0.251016682234902	2.91070727435736	0.00360611691291698	0.0477608207265657
bysl	bystin-like	593.842159836429	0.585993705349136	0.201323348306028	2.91070911685007	0.00360609564983744	0.0477608207265657
LOC102082445	uncharacterized LOC102082445	302.146234290899	-0.627695541329551	0.215737328708146	-2.90953607837942	0.00361965606574802	0.0479110839248102
LOC112845809	NA	28.0249075529786	3.00669463217199	1.03424162235819	2.90714912953936	0.00364739267738792	0.0481716548063756
clcn2	chloride channel 2c	1962.05427967044	-0.680179282400695	0.233988344747553	-2.90689385889939	0.00365037036193002	0.0481716548063756
atp5pd	ATP synthase peripheral stalk subunit d	1554.63044426422	0.671262768288296	0.230916561659958	2.90694943430165	0.00364972189701823	0.0481716548063756
LOC100710942	green-sensitive opsin	206.161637889525	-5.150128109323	1.77130146924902	-2.90753900379617	0.00364284912939866	0.0481716548063756
LOC100707889	ligand of numb-protein X 2b	141.90553458325	-0.789801049319958	0.271675385105497	-2.90714982887854	0.00364738452276113	0.0481716548063756
LOC100691242	C-C motif chemokine 17	1346.53685182735	-1.74425628623191	0.600195902276967	-2.90614494303395	0.00365911908675386	0.0482579473760292
LOC100691642	netrin-G1	1156.77384752952	0.520248408441897	0.179147088560491	2.90402937955773	0.00368393588574073	0.0485266343453423
LOC100697777	caspase recruitment domain-containing protein 11	97.9093801360684	-0.964070828625046	0.331973625539125	-2.90405849880211	0.00368359326380856	0.0485266343453423
