gene	gene_description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
asnsd1	asparagine synthetase domain containing 1	791.190794764137	0.325976487906871	0.208911357128519	1.56035790675725	0.118675326209932	0.510933237283142
fam126b	family with sequence similarity 126 member B	3410.25544277269	0.282630652132813	0.181147436455726	1.56022440981046	0.118706859159153	0.510933237283142
ets1	v-ets avian erythroblastosis virus E26 oncogene homolog 1	390.58363143179	-0.411210136279435	0.263573126206599	-1.56013680983968	0.118727554478258	0.510933237283142
spcs2	signal peptidase complex subunit 2	2672.76828446582	0.323117035380743	0.207073744619129	1.56039596412888	0.118666337985194	0.510933237283142
ankh	ANKH inorganic pyrophosphate transport regulator a	3320.49591955488	0.231513957813815	0.14839074761978	1.56016437363751	0.118721042280793	0.510933237283142
LOC100700025	neurexophilin-1	618.020050748551	0.41880656848307	0.268416511839283	1.5602861597942	0.118692272547719	0.510933237283142
LOC100690456	hippocalcin-like protein 1	9057.30509673686	-0.255575488438531	0.163866983943491	-1.55965211715048	0.11884211329247	0.511089792712303
LOC100707841	fibroblast growth factor receptor 1-A	189.217533489391	0.473618420201192	0.303678981522288	1.55960224124511	0.11885390655276	0.511089792712303
LOC100702449	protein phosphatase 1H	1305.48013168169	0.351434155084497	0.22532628955972	1.55966778564183	0.118838408634865	0.511089792712303
LOC100707057	ataxin 7-like 2a	687.062431586121	-0.373918303501136	0.239740375563945	-1.55968014407904	0.11883548667022	0.511089792712303
LOC100692078	kelch-like family member 13	856.906313050875	-0.267351358053907	0.171474861958135	-1.55912858013661	0.118965950426424	0.511281317493702
LOC102078013	titin homolog	176.038785406417	-0.894687315840271	0.573807047436897	-1.55921283964129	0.118946012906604	0.511281317493702
rilpl2	Rab interacting lysosomal protein-like 2	219.945346599726	-0.341222545431141	0.218836944517001	-1.55925475099399	0.11893609679994	0.511281317493702
LOC100707947	neurobeachin a	6131.62323285906	-0.246694306497259	0.158267367661483	-1.55871870583526	0.119062972423391	0.511601524093097
LOC100696295	gamma-enolase	14574.6104434595	0.241987614651385	0.155264395911335	1.55855187038227	0.119102482063027	0.511674531562887
pdgfd	platelet derived growth factor d	94.1412273570914	-0.645126387268916	0.414031915340618	-1.55815617918773	0.119196229949346	0.511980479566927
acss1	acyl-CoA synthetase short chain family member 1	136.6998365873	-0.612672498865681	0.393400518322825	-1.55737593198319	0.119381256982572	0.512353146812639
LOC100712229	polymeric immunoglobulin receptor	290.439254615036	-0.772640145528774	0.496061975302591	-1.55754761299226	0.119340525422684	0.512353146812639
LOC109198570	stonustoxin subunit alpha	9.34269984946207	2.65461755533311	1.70431967083684	1.55758194941778	0.119332380364522	0.512353146812639
lyrm1	LYR motif containing 1	283.770945272711	0.305784005292805	0.19635304684331	1.55731734347275	0.11939515968141	0.512353146812639
pbld	phenazine biosynthesis like protein domain containing	26.1150121764768	-1.28525146119268	0.825299654398224	-1.55731491506541	0.11939573595515	0.512353146812639
LOC100709168	protein phosphatase 1 regulatory inhibitor subunit 14D	2208.91254086542	0.263294042480041	0.169092256021912	1.55710290154223	0.11944605627251	0.512472298078545
LOC100699062	methionine adenosyltransferase II, alpha-like	306.810530625866	0.377484261084858	0.242442857865491	1.55700301674504	0.119469769172014	0.512477269232869
LOC109195566	tripartite motif-containing protein 16-like	3.17541263625365	-2.43683046366824	1.56536389214885	-1.5567182020042	0.119537405153397	0.512572836642991
LOC102079269	uncharacterized LOC102079269	588.617829481633	-0.339703684535544	0.218235811730681	-1.55659001078504	0.119567856971301	0.512572836642991
LOC100696622	aryl hydrocarbon receptor 1b	520.05071357749	-0.404373648193631	0.25975372282871	-1.55675785428603	0.119527986986252	0.512572836642991
arl13a	ADP-ribosylation factor-like 13A	190.740339090557	0.706686393252277	0.454014193566612	1.55652929636569	0.119582281799335	0.512572836642991
ap3b1	adaptor related protein complex 3 subunit beta 1a	411.368396637845	-0.350973428123936	0.225564694560788	-1.55597678443136	0.119713612941482	0.512942242741156
LOC100698414	abl interactor 2	7599.69264025105	-0.413947677861241	0.266032375347741	-1.55600489346515	0.119706928745618	0.512942242741156
gnal	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type	2144.44949379312	0.269793867335089	0.173403009805265	1.55587764963292	0.119737189063478	0.512946532786643
ccdc59	coiled-coil domain containing 59	540.710254822383	0.303654611191678	0.195203342280058	1.55558100412044	0.119807758677007	0.513100338289882
acot8	acyl-CoA thioesterase 8	361.928613292409	0.392928908973884	0.252600186351027	1.55553689270779	0.119818255213719	0.513100338289882
dlx6	distal-less homeobox 6a	675.211146041624	0.355373743290326	0.228505977840472	1.5552054552307	0.119897145499152	0.513341424539613
LOC100708249	extracellular serine/threonine protein kinase FAM20C	27.3503817097491	-1.58963400278968	1.02283208025028	-1.55414953586585	0.120148751596268	0.514128047791035
LOC100709095	uncharacterized LOC100709095	1847.42165971471	0.300650596976088	0.193443756178793	1.55420160833833	0.12013633400345	0.514128047791035
LOC102076757	neural cell adhesion molecule 2	24.5197191930256	1.39586435302785	0.89811523880455	1.55421519724556	0.120133093655932	0.514128047791035
gamt	guanidinoacetate N-methyltransferase	211.135414619632	1.0378744411526	0.667859129925555	1.55403197268306	0.120176790291448	0.514151201092501
fbxo46	F-box protein 46	1250.34341951532	0.201720114258849	0.129821315296873	1.55382892090994	0.120225229991165	0.514164817590674
matn4	matrilin 4	52.7102608316826	-1.23950984369404	0.79769156678935	-1.55387106407928	0.120215175128514	0.514164817590674
LOC100705974	D(1) dopamine receptor	60.0652874535053	0.665530349260269	0.428352817982058	1.55369667554783	0.120256786448337	0.514202992412328
adam9	ADAM metallopeptidase domain 9a	2299.28145680553	-0.199891569237919	0.12866459622944	-1.55358641845395	0.120283101010376	0.51421874339751
ice2	interactor of little elongator complex ELL subunit 2	421.512278739055	-0.306448837069219	0.197330118513472	-1.55297548786652	0.120428990754247	0.514468057027294
apoa4b	apolipoprotein A-IV b, tandem duplicate 2	156.06481568831	-0.585910772736447	0.377253584098396	-1.55309531157066	0.120400366033617	0.514468057027294
LOC100700811	cylindromatosis (turban tumor syndrome) 2	16.0138397172967	-1.35799630394484	0.87445505676625	-1.55296294925292	0.120431986415288	0.514468057027294
ntrk2	neurotrophic tyrosine kinase, receptor, type 2a	10929.9491285718	0.33020997551756	0.212621376755116	1.55304222255072	0.120413047828306	0.514468057027294
vwa5b1	von Willebrand factor A domain containing 5B1	1233.24557821598	-0.388441268060608	0.25016653632342	-1.55273072797564	0.120487478072941	0.514608360295747
mb21d2	Mab-21 domain containing 2	975.217322910543	-0.23643943617807	0.152296627937425	-1.55249291714599	0.120544326152519	0.514754403089183
zmat5	zinc finger, matrin-type 5	223.809009459824	0.371526502766386	0.239361332121682	1.55215756644234	0.120624526567294	0.514806628974842
LOC100709143	serine/threonine-protein kinase tousled-like 2	1633.35809765752	-0.248613252815613	0.160156149750771	-1.55231786729698	0.120586184790672	0.514806628974842
LOC100690837	thioredoxin	5462.96813676415	-0.295752596338394	0.190541026114462	-1.55217279118004	0.120620884607791	0.514806628974842
LOC109195250	GTPase IMAP family member 4-like	9.28881250652938	-1.81372077935954	1.16876317403267	-1.55182916407395	0.120703105728543	0.515045252274922
LOC100692482	sodium/hydrogen exchanger 2	99.6458804083325	-0.673667067480237	0.434197514709448	-1.55152216366562	0.120776600116401	0.515262093098922
LOC112843265	carbonic anhydrase 6-like	8.33288146892163	-1.8892610463873	1.21782764294238	-1.55133697065922	0.120820951342639	0.515332629254022
LOC100689750	zinc finger, AN1-type domain 5a	1947.74370983203	-0.167337390662232	0.107871657625944	-1.55126373641622	0.120838493471764	0.515332629254022
LOC112847942	uncharacterized LOC112847942	16.3106964805541	1.48592315947471	0.95797535133542	1.55110792506647	0.120875822299399	0.515395089939377
LOC100690726	solute carrier family 35 member G2a	4305.29125652105	0.313308006863837	0.202117762353929	1.55012604144708	0.121111266742886	0.51554904279405
exoc1l	exocyst complex component 1 like	7.38110021718088	-2.2105937710988	1.42621717155919	-1.54996995912067	0.121148726523806	0.51554904279405
LOC100709793	WSC domain containing 1b	1695.92930458687	-0.289953640612268	0.187061483475035	-1.55004459082548	0.121130813773161	0.51554904279405
abhd12	abhydrolase domain containing 12, lysophospholipase	1444.49896257477	0.333329824390185	0.215011615422835	1.55028752160515	0.121072521019286	0.51554904279405
pskh1	protein serine kinase H1	162.632102626561	-0.43623673846572	0.281286760578043	-1.55086125478944	0.120934937292693	0.51554904279405
